,docid,key,label_jp_long_filled,amounts_change_cls,calc_parent_key
48560,S100W65X,jppfs_cor:MachineryEquipmentAndVehicles,機械装置及び運搬具,stable,jppfs_cor:MachineryEquipmentAndVehiclesNet
48561,S100W65X,jppfs_cor:LongTermLoansPayable,長期借入金,decrease_10,jppfs_cor:NoncurrentLiabilities
48562,S100W65X,jppfs_cor:LongTermLoansReceivable,長期貸付金,new,jppfs_cor:InvestmentsAndOtherAssets
48563,S100W65X,jppfs_cor:AllowanceForDoubtfulAccountsIOAByGroup,貸倒引当金、投資その他の資産、一括控除,decrease_20,jppfs_cor:InvestmentsAndOtherAssets
48564,S100W65X,jppfs_cor:GainOnSalesOfNoncurrentAssetsEI,固定資産売却益、特別利益,increase_20,jppfs_cor:ExtraordinaryIncome
48565,S100W65X,jppfs_cor:NotesAndAccountsPayableTrade,支払手形及び買掛金,increase_10,jppfs_cor:CurrentLiabilities
48566,S100W65X,jppfs_cor:NetSales,売上高,decrease_10,jppfs_cor:GrossProfit
48567,S100W65X,jppfs_cor:ProvisionForBonuses,賞与引当金,increase_20,jppfs_cor:CurrentLiabilities
48568,S100W65X,jppfs_cor:OtherNOI,その他、営業外収益,increase_10,jppfs_cor:NonOperatingIncome
48569,S100W65X,jppfs_cor:ConstructionInProgress,建設仮勘定,decrease_20,jppfs_cor:PropertyPlantAndEquipment
48570,S100W65X,jppfs_cor:ImpairmentLossEL,減損損失、特別損失,increase_20,jppfs_cor:ExtraordinaryLoss
48571,S100W65X,jppfs_cor:ForeignCurrencyTranslationAdjustmentNetOfTaxOCI,為替換算調整勘定（税引後）、その他の包括利益,decrease_20,jppfs_cor:OtherComprehensiveIncome
48572,S100W65X,jppfs_cor:ContractLiabilities,契約負債,stable,jppfs_cor:CurrentLiabilities
48573,S100W65X,jppfs_cor:ExtraordinaryIncome,特別利益,decrease_20,jppfs_cor:IncomeBeforeIncomeTaxes
48574,S100W65X,jppfs_cor:CostOfSales,売上原価,decrease_10,jppfs_cor:GrossProfit
48575,S100W65X,jppfs_cor:ComprehensiveIncome,包括利益,new,not_common_account
48576,S100W65X,jppfs_cor:LossOnRetirementOfNoncurrentAssetsEL,固定資産除却損、特別損失,increase_20,jppfs_cor:ExtraordinaryLoss
48577,S100W65X,jppfs_cor:CashAndDeposits,現金及び預金,stable,jppfs_cor:CurrentAssets
48578,S100W65X,jppfs_cor:IntangibleAssets,無形固定資産,decrease_10,jppfs_cor:NoncurrentAssets
48579,S100W65X,jppfs_cor:ShareOfOtherComprehensiveIncomeOfAssociatesAccountedForUsingEquityMethodOCI,持分法適用会社に対する持分相当額、その他の包括利益,new,jppfs_cor:OtherComprehensiveIncome
48580,S100W65X,jppfs_cor:CapitalSurplus,資本剰余金,stable,jppfs_cor:ShareholdersEquity
48581,S100W65X,jppfs_cor:IncomeTaxesPayable,未払法人税等,decrease_10,jppfs_cor:CurrentLiabilities
48582,S100W65X,jppfs_cor:DeferredTaxLiabilities,繰延税金負債,decrease_10,jppfs_cor:NoncurrentLiabilities
48583,S100W65X,jppfs_cor:DeferredTaxAssets,繰延税金資産,increase_20,jppfs_cor:InvestmentsAndOtherAssets
48584,S100W65X,jppfs_cor:ForeignExchangeLossesNOE,為替差損、営業外費用,new,jppfs_cor:NonOperatingExpenses
48585,S100W65X,jppfs_cor:OtherPPE,その他、有形固定資産,increase_10,jppfs_cor:OtherNetPPE
48586,S100W65X,jppfs_cor:OrdinaryIncome,経常利益又は経常損失（△）,new,jppfs_cor:IncomeBeforeIncomeTaxes
48587,S100W65X,jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,decrease_20,jppfs_cor:ComprehensiveIncome
48588,S100W65X,jppfs_cor:RawMaterialsAndSupplies,原材料及び貯蔵品,decrease_20,jppfs_cor:CurrentAssets
48589,S100W65X,jppfs_cor:InvestmentsAndOtherAssets,投資その他の資産,stable,jppfs_cor:NoncurrentAssets
48590,S100W65X,jppfs_cor:IncomeTaxesDeferred,法人税等調整額,new,jppfs_cor:IncomeTaxes
48591,S100W65X,jppfs_cor:OtherCA,その他、流動資産,decrease_20,jppfs_cor:CurrentAssets
48592,S100W65X,jppfs_cor:OtherCL,その他、流動負債,stable,jppfs_cor:CurrentLiabilities
48593,S100W65X,jppfs_cor:OtherIA,その他、無形固定資産,increase_10,jppfs_cor:IntangibleAssets
48594,S100W65X,jppfs_cor:DividendsIncomeNOI,受取配当金、営業外収益,increase_20,jppfs_cor:NonOperatingIncome
48595,S100W65X,jppfs_cor:LeaseObligationsNCL,リース債務、固定負債,decrease_10,jppfs_cor:NoncurrentLiabilities
48596,S100W65X,jppfs_cor:LeaseObligationsCL,リース債務、流動負債,increase_10,jppfs_cor:CurrentLiabilities
48597,S100W65X,jppfs_cor:InsuranceIncomeNOI,受取保険金、営業外収益,decrease_20,jppfs_cor:NonOperatingIncome
48598,S100W65X,jppfs_cor:SubsidyIncomeNOI,補助金収入、営業外収益,increase_20,jppfs_cor:NonOperatingIncome
48599,S100W65X,jppfs_cor:OtherNCL,その他、固定負債,decrease_10,jppfs_cor:NoncurrentLiabilities
48600,S100W65X,jppfs_cor:ValuationAndTranslationAdjustments,評価・換算差額等,decrease_10,jppfs_cor:NetAssets
48601,S100W65X,jppfs_cor:AccumulatedDepreciationBuildingsAndStructures,減価償却累計額、建物及び構築物,stable,jppfs_cor:BuildingsAndStructuresNet
48602,S100W65X,jppfs_cor:AllowanceForDoubtfulAccountsCA,貸倒引当金、流動資産、一括控除,decrease_20,jppfs_cor:CurrentAssets
48603,S100W65X,jppfs_cor:WorkInProcess,仕掛品,decrease_20,jppfs_cor:CurrentAssets
48604,S100W65X,jppfs_cor:AccountsPayableOther,未払金,stable,jppfs_cor:CurrentLiabilities
48605,S100W65X,jppfs_cor:LeaseAssetsPPE,リース資産、有形固定資産,stable,jppfs_cor:LeaseAssetsNetPPE
48606,S100W65X,jppfs_cor:AccountsReceivableTrade,売掛金,stable,jppfs_cor:CurrentAssets
48607,S100W65X,jppfs_cor:CapitalStock,資本金,stable,jppfs_cor:ShareholdersEquity
48608,S100W65X,jppfs_cor:ValuationDifferenceOnAvailableForSaleSecurities,その他有価証券評価差額金,decrease_10,jppfs_cor:ValuationAndTranslationAdjustments
48609,S100W65X,jppfs_cor:OperatingIncome,営業利益又は営業損失（△）,decrease_20,jppfs_cor:OrdinaryIncome
48610,S100W65X,jppfs_cor:OtherIOA,その他、投資その他の資産,decrease_20,jppfs_cor:InvestmentsAndOtherAssets
48611,S100W65X,jppfs_cor:ForeignCurrencyTranslationAdjustment,為替換算調整勘定,increase_20,jppfs_cor:ValuationAndTranslationAdjustments
48612,S100W65X,jppfs_cor:Goodwill,のれん,decrease_10,jppfs_cor:IntangibleAssets
48613,S100W65X,jppfs_cor:InvestmentSecurities,投資有価証券,decrease_10,jppfs_cor:InvestmentsAndOtherAssets
48614,S100W65X,jppfs_cor:ComprehensiveIncomeAttributableToNonControllingInterests,非支配株主に係る包括利益、包括利益,decrease_20,not_common_account
48615,S100W65X,jppfs_cor:ComprehensiveIncomeAttributableToOwnersOfTheParent,親会社株主に係る包括利益、包括利益,new,not_common_account
58881,S100W5K9,jppfs_cor:NetDefinedBenefitLiability,退職給付に係る負債,increase_20,jppfs_cor:NoncurrentLiabilities
58882,S100W5K9,jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,decrease_20,not_common_account
58883,S100W5K9,jppfs_cor:CurrentLiabilities,流動負債,increase_10,jppfs_cor:Liabilities
58884,S100W5K9,jppfs_cor:CapitalSurplus,資本剰余金,stable,jppfs_cor:ShareholdersEquity
58885,S100W5K9,jppfs_cor:CostOfSales,売上原価,stable,jppfs_cor:GrossProfit
58886,S100W5K9,jppfs_cor:CashAndDeposits,現金及び預金,increase_10,jppfs_cor:CurrentAssets
58887,S100W5K9,jppfs_cor:ValuationAndTranslationAdjustments,評価・換算差額等,decrease_20,jppfs_cor:NetAssets
58888,S100W5K9,jppfs_cor:IncomeBeforeIncomeTaxes,税引前当期純利益又は税引前当期純損失（△）,decrease_20,jppfs_cor:ProfitLoss
58889,S100W5K9,jppfs_cor:OrdinaryIncome,経常利益又は経常損失（△）,decrease_20,jppfs_cor:IncomeBeforeIncomeTaxes
58890,S100W5K9,jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,decrease_20,top_account
58891,S100W5K9,jppfs_cor:OtherIA,その他、無形固定資産,increase_20,jppfs_cor:IntangibleAssets
58892,S100W5K9,jppfs_cor:OtherPPE,その他、有形固定資産,stable,jppfs_cor:OtherNetPPE
58893,S100W5K9,jppfs_cor:OtherCA,その他、流動資産,increase_10,jppfs_cor:CurrentAssets
58894,S100W5K9,jppfs_cor:IncomeTaxesPayable,未払法人税等,increase_20,jppfs_cor:CurrentLiabilities
58895,S100W5K9,jppfs_cor:ExtraordinaryIncome,特別利益,decrease_20,jppfs_cor:IncomeBeforeIncomeTaxes
58896,S100W5K9,jppfs_cor:ProvisionForBonuses,賞与引当金,increase_10,jppfs_cor:CurrentLiabilities
58897,S100W5K9,jppfs_cor:ProfitLossAttributableToNonControllingInterests,非支配株主に帰属する当期純利益又は非支配株主に帰属する当期純損失（△）,decrease_20,not_common_account
58898,S100W5K9,jppfs_cor:InvestmentSecurities,投資有価証券,stable,jppfs_cor:InvestmentsAndOtherAssets
58899,S100W5K9,jppfs_cor:AccumulatedDepreciationOtherPPE,減価償却累計額、その他、有形固定資産,increase_10,jppfs_cor:OtherNetPPE
58900,S100W5K9,jppfs_cor:MerchandiseAndFinishedGoods,商品及び製品,increase_10,jppfs_cor:CurrentAssets
58901,S100W5K9,jppfs_cor:NetDefinedBenefitAsset,退職給付に係る資産,decrease_10,jppfs_cor:InvestmentsAndOtherAssets
58902,S100W5K9,jppfs_cor:OtherCL,その他、流動負債,increase_20,jppfs_cor:CurrentLiabilities
58903,S100W5K9,jppfs_cor:AccumulatedDepreciationMachineryEquipmentAndVehicles,減価償却累計額、機械装置及び運搬具,increase_20,jppfs_cor:MachineryEquipmentAndVehiclesNet
58904,S100W5K9,jppfs_cor:GrossProfit,売上総利益又は売上総損失（△）,increase_10,jppfs_cor:OperatingIncome
58905,S100W5K9,jppfs_cor:NoncurrentLiabilities,固定負債,increase_20,jppfs_cor:Liabilities
58906,S100W5K9,jppfs_cor:CapitalStock,資本金,stable,jppfs_cor:ShareholdersEquity
58907,S100W5K9,jppfs_cor:RealEstateForSale,販売用不動産,new,jppfs_cor:CurrentAssets
58908,S100W5K9,jppfs_cor:NoncurrentAssets,固定資産,increase_20,jppfs_cor:Assets
58909,S100W5K9,jppfs_cor:ElectronicallyRecordedObligationsOperatingCL,電子記録債務、流動負債,decrease_10,jppfs_cor:CurrentLiabilities
58910,S100W5K9,jppfs_cor:PurchaseDiscountsNOI,仕入割引、営業外収益,increase_10,jppfs_cor:NonOperatingIncome
58911,S100W5K9,jppfs_cor:CostsOnUncompletedConstructionContractsCNS,未成工事支出金、建設業,increase_10,jppfs_cor:CurrentAssets
58912,S100W5K9,jppfs_cor:IntangibleAssets,無形固定資産,new,jppfs_cor:NoncurrentAssets
58913,S100W5K9,jppfs_cor:SellingGeneralAndAdministrativeExpenses,販売費及び一般管理費,increase_10,jppfs_cor:OperatingIncome
58914,S100W5K9,jppfs_cor:OperatingIncome,営業利益又は営業損失（△）,decrease_10,jppfs_cor:OrdinaryIncome
58915,S100W5K9,jppfs_cor:NonOperatingIncome,営業外収益,decrease_20,jppfs_cor:OrdinaryIncome
58916,S100W5K9,jppfs_cor:CurrentAssets,流動資産,increase_10,jppfs_cor:Assets
58917,S100W5K9,jppfs_cor:AllowanceForDoubtfulAccountsIOAByGroup,貸倒引当金、投資その他の資産、一括控除,decrease_20,jppfs_cor:InvestmentsAndOtherAssets
58918,S100W5K9,jppfs_cor:PropertyPlantAndEquipment,有形固定資産,increase_20,jppfs_cor:NoncurrentAssets
58919,S100W5K9,jppfs_cor:NotesAndAccountsPayableTrade,支払手形及び買掛金,stable,jppfs_cor:CurrentLiabilities
58920,S100W5K9,jppfs_cor:Goodwill,のれん,new,jppfs_cor:IntangibleAssets
58921,S100W5K9,jppfs_cor:OtherNCL,その他、固定負債,increase_20,jppfs_cor:NoncurrentLiabilities
58922,S100W5K9,jppfs_cor:InterestAndDividendsIncomeNOI,受取利息及び配当金、営業外収益,decrease_20,jppfs_cor:NonOperatingIncome
58923,S100W5K9,jppfs_cor:InvestmentsAndOtherAssets,投資その他の資産,increase_20,jppfs_cor:NoncurrentAssets
58924,S100W5K9,jppfs_cor:IncomeTaxesCurrent,法人税、住民税及び事業税,increase_10,jppfs_cor:IncomeTaxes
58925,S100W5K9,jppfs_cor:NonOperatingExpenses,営業外費用,new,jppfs_cor:OrdinaryIncome
58926,S100W5K9,jppfs_cor:LossOnRetirementOfNoncurrentAssetsEL,固定資産除却損、特別損失,increase_20,jppfs_cor:ExtraordinaryLoss
58927,S100W5K9,jppfs_cor:GainOnSalesOfInvestmentSecuritiesNOI,投資有価証券売却益、営業外収益,decrease_20,jppfs_cor:NonOperatingIncome
58928,S100W5K9,jppfs_cor:RetainedEarnings,利益剰余金,increase_10,jppfs_cor:ShareholdersEquity
58929,S100W5K9,jppfs_cor:LongTermLoansPayable,長期借入金,increase_20,jppfs_cor:NoncurrentLiabilities
58930,S100W5K9,jppfs_cor:ImpairmentLossEL,減損損失、特別損失,decrease_20,jppfs_cor:ExtraordinaryLoss
58931,S100W5K9,jppfs_cor:DeferredGainsOrLossesOnHedges,繰延ヘッジ損益,increase_20,jppfs_cor:ValuationAndTranslationAdjustments
58932,S100W5K9,jppfs_cor:ValuationDifferenceOnAvailableForSaleSecurities,その他有価証券評価差額金,decrease_20,jppfs_cor:ValuationAndTranslationAdjustments
58933,S100W5K9,jppfs_cor:RemeasurementsOfDefinedBenefitPlans,退職給付に係る調整累計額,decrease_20,jppfs_cor:ValuationAndTranslationAdjustments
58934,S100W5K9,jppfs_cor:ShareholdersEquity,株主資本,increase_10,jppfs_cor:NetAssets
58935,S100W5K9,jppfs_cor:DeferredTaxLiabilities,繰延税金負債,decrease_20,jppfs_cor:NoncurrentLiabilities
58936,S100W5K9,jppfs_cor:ClaimsProvableInBankruptcyClaimsProvableInRehabilitationAndOther,破産更生債権等,increase_20,jppfs_cor:InvestmentsAndOtherAssets
58937,S100W5K9,jppfs_cor:AccumulatedDepreciationBuildingsAndStructures,減価償却累計額、建物及び構築物,increase_20,jppfs_cor:BuildingsAndStructuresNet
58938,S100W5K9,jppfs_cor:MachineryEquipmentAndVehicles,機械装置及び運搬具,increase_20,jppfs_cor:MachineryEquipmentAndVehiclesNet
58939,S100W5K9,jppfs_cor:Land,土地,increase_20,jppfs_cor:PropertyPlantAndEquipment
58940,S100W5K9,jppfs_cor:IncomeTaxesDeferred,法人税等調整額,decrease_20,jppfs_cor:IncomeTaxes
58941,S100W5K9,jppfs_cor:Liabilities,負債,increase_20,jppfs_cor:LiabilitiesAndNetAssets
58942,S100W5K9,jppfs_cor:AllowanceForDoubtfulAccountsCA,貸倒引当金、流動資産、一括控除,decrease_10,jppfs_cor:CurrentAssets
58943,S100W5K9,jppfs_cor:ProvisionForDirectorsRetirementBenefits,役員退職慰労引当金,increase_20,jppfs_cor:NoncurrentLiabilities
58944,S100W5K9,jppfs_cor:IncomeTaxes,法人税等,decrease_10,jppfs_cor:ProfitLoss
58945,S100W5K9,jppfs_cor:InterestExpensesNOE,支払利息、営業外費用,increase_20,jppfs_cor:NonOperatingExpenses
58946,S100W5K9,jppfs_cor:NetSales,売上高,increase_10,jppfs_cor:GrossProfit
58947,S100W5K9,jppfs_cor:NotesAndAccountsReceivableTradeAndContractAssets,受取手形、売掛金及び契約資産,increase_10,jppfs_cor:CurrentAssets
58948,S100W5K9,jppfs_cor:MiscellaneousIncomeNOI,雑収入、営業外収益,increase_20,jppfs_cor:NonOperatingIncome
58949,S100W5K9,jppfs_cor:GainOnSalesOfNoncurrentAssetsEI,固定資産売却益、特別利益,new,jppfs_cor:ExtraordinaryIncome
58950,S100W5K9,jppfs_cor:MiscellaneousLossNOE,雑損失、営業外費用,new,jppfs_cor:NonOperatingExpenses
58951,S100W5K9,jppfs_cor:BuildingsAndStructures,建物及び構築物,increase_20,jppfs_cor:BuildingsAndStructuresNet
58952,S100W5K9,jppfs_cor:CurrentPortionOfLongTermLoansPayable,１年内返済予定の長期借入金,increase_20,jppfs_cor:CurrentLiabilities
58953,S100W5K9,jppfs_cor:OtherIOA,その他、投資その他の資産,increase_20,jppfs_cor:InvestmentsAndOtherAssets
58954,S100W5K9,jppfs_cor:TreasuryStock,自己株式,stable,jppfs_cor:ShareholdersEquity
58955,S100W5K9,jppfs_cor:RealEstateRentNOI,不動産賃貸料、営業外収益,stable,jppfs_cor:NonOperatingIncome
58956,S100W5K9,jppfs_cor:ExtraordinaryLoss,特別損失,decrease_20,jppfs_cor:IncomeBeforeIncomeTaxes
58957,S100W5K9,jppfs_cor:OtherProvisionCL,その他の引当金、流動負債,stable,jppfs_cor:CurrentLiabilities
58958,S100W5K9,jppfs_cor:ShortTermLoansPayable,短期借入金,new,jppfs_cor:CurrentLiabilities
74902,S100W4OG,jppfs_cor:RawMaterialsAndSupplies,原材料及び貯蔵品,increase_10,jppfs_cor:CurrentAssets
74903,S100W4OG,jppfs_cor:SalesOnOtherBusinessRevOA,その他の事業売上高、営業活動による収益,increase_10,jppfs_cor:NetSales
74904,S100W4OG,jppfs_cor:ProvisionForDirectorsBonuses,役員賞与引当金,increase_20,jppfs_cor:CurrentLiabilities
74905,S100W4OG,jppfs_cor:OtherCA,その他、流動資産,increase_20,jppfs_cor:CurrentAssets
74906,S100W4OG,jppfs_cor:DeferredTaxLiabilities,繰延税金負債,stable,jppfs_cor:NoncurrentLiabilities
74907,S100W4OG,jppfs_cor:AccruedConsumptionTaxes,未払消費税等,increase_20,jppfs_cor:CurrentLiabilities
74908,S100W4OG,jppfs_cor:CurrentPortionOfLongTermLoansPayable,１年内返済予定の長期借入金,increase_20,jppfs_cor:CurrentLiabilities
74909,S100W4OG,jppfs_cor:ValuationAndTranslationAdjustments,評価・換算差額等,decrease_10,jppfs_cor:NetAssets
74910,S100W4OG,jppfs_cor:OtherNOI,その他、営業外収益,decrease_10,jppfs_cor:NonOperatingIncome
74911,S100W4OG,jppfs_cor:ShareholdersEquity,株主資本,stable,jppfs_cor:NetAssets
74912,S100W4OG,jpcrp030000-asr_E04160-000:MachineryEquipmentAndToolsFurnitureAndFixturesPPE,機械装置及び工具器具備品,stable,jpcrp030000-asr_E04160-000:MachineryEquipmentAndToolsFurnitureAndFixturesNetPPE
74913,S100W4OG,jppfs_cor:RemeasurementsOfDefinedBenefitPlans,退職給付に係る調整累計額,decrease_10,jppfs_cor:ValuationAndTranslationAdjustments
74914,S100W4OG,jppfs_cor:AllowanceForDoubtfulAccountsCA,貸倒引当金、流動資産、一括控除,stable,jppfs_cor:CurrentAssets
74915,S100W4OG,jppfs_cor:AccumulatedDepreciationBuildingsAndStructures,減価償却累計額、建物及び構築物,stable,jppfs_cor:BuildingsAndStructuresNet
74916,S100W4OG,jppfs_cor:Vehicles,車両運搬具,stable,jppfs_cor:VehiclesNet
74917,S100W4OG,jppfs_cor:ImpairmentLossEL,減損損失、特別損失,decrease_10,jppfs_cor:ExtraordinaryLoss
74918,S100W4OG,jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,increase_10,not_common_account
74919,S100W4OG,jppfs_cor:BuildingsAndStructures,建物及び構築物,increase_10,jppfs_cor:BuildingsAndStructuresNet
74920,S100W4OG,jppfs_cor:IncomeTaxesDeferred,法人税等調整額,decrease_10,jppfs_cor:IncomeTaxes
74921,S100W4OG,jppfs_cor:LeaseObligationsCL,リース債務、流動負債,increase_20,jppfs_cor:CurrentLiabilities
74922,S100W4OG,jppfs_cor:OtherCL,その他、流動負債,increase_20,jppfs_cor:CurrentLiabilities
74923,S100W4OG,jppfs_cor:InterestIncomeNOI,受取利息、営業外収益,stable,jppfs_cor:NonOperatingIncome
74924,S100W4OG,jppfs_cor:InterestExpensesNOE,支払利息、営業外費用,increase_10,jppfs_cor:NonOperatingExpenses
74925,S100W4OG,jppfs_cor:SubsidyIncomeNOIBounty,助成金収入、営業外収益,increase_10,jppfs_cor:NonOperatingIncome
74926,S100W4OG,jppfs_cor:LeaseAssetsPPE,リース資産、有形固定資産,increase_20,jppfs_cor:LeaseAssetsNetPPE
74927,S100W4OG,jppfs_cor:PurchaseDiscountsNOI,仕入割引、営業外収益,increase_10,jppfs_cor:NonOperatingIncome
74928,S100W4OG,jppfs_cor:SellingGeneralAndAdministrativeExpenses,販売費及び一般管理費,increase_10,jppfs_cor:OperatingIncome
74929,S100W4OG,jppfs_cor:LeaseObligationsNCL,リース債務、固定負債,increase_20,jppfs_cor:NoncurrentLiabilities
74930,S100W4OG,jppfs_cor:NetSales,売上高,increase_10,jppfs_cor:GrossProfit
74931,S100W4OG,jppfs_cor:ConstructionInProgress,建設仮勘定,new,jppfs_cor:PropertyPlantAndEquipment
74932,S100W4OG,jppfs_cor:CapitalStock,資本金,stable,jppfs_cor:ShareholdersEquity
74933,S100W4OG,jppfs_cor:CapitalSurplus,資本剰余金,stable,jppfs_cor:ShareholdersEquity
74934,S100W4OG,jppfs_cor:AccountsPayableOther,未払金,increase_10,jppfs_cor:CurrentLiabilities
74935,S100W4OG,jppfs_cor:ForeignCurrencyTranslationAdjustment,為替換算調整勘定,increase_20,jppfs_cor:ValuationAndTranslationAdjustments
74936,S100W4OG,jppfs_cor:ElectronicallyRecordedObligationsOperatingCL,電子記録債務、流動負債,decrease_10,jppfs_cor:CurrentLiabilities
74937,S100W4OG,jppfs_cor:InvestmentsAndOtherAssets,投資その他の資産,increase_10,jppfs_cor:NoncurrentAssets
