docid,text_type,text_list
S100G1QV,mda,"米中貿易摩擦等を背景に先行きの不確実性が高まり、下期以降、中国経済の減速感が顕在化した
米国の通商政策、英国の欧州連合離脱など今後の景気動向に対する懸念が高まった
原油価格が低水準が継続し、金融市場においても長期金利が低調に推移した
インダストリアルテープにおいて、下期に入りエレクトロニクスや自動車業界向けの需要減速による影響を受けた
オプトロニクスにおいて、下期に入りエレクトロニクスや自動車業界向けの需要減速による影響を受けた
"
S100G3PQ,mda,"診療報酬改定等の医療費抑制政策や価格競争の影響による市場環境の厳しさ
市場の動向や顧客ニーズに対応した魅力ある製品の開発、経営効率の改善による財務体質の強化
設備投資及び個人消費の底堅い推移により経済が緩やかに回復
米中の通商摩擦、英国のEU離脱による欧州の経済減速
人口減少や医療費抑制政策の影響
"
S100G5RV,mda,"工事原価低減による採算性向上等、収益向上に努めた
人件費を含む固定費の増加
整備新幹線工事(九州)をはじめ、主な顧客である東日本旅客鉄道(株)の信号設備改良工事(首都圏地区・東北地区)や中央線グリーン車導入に伴う関連工事等の大型工事を受注
総合研修センター実習設備新設と拠点整備等による固定資産の増加
総合研修センターや拠点整備等の固定資産取得
"
S100G8B9,mda,"債券貸借取引受入担保金の増加
借用金の増加
国内業務部門と国際業務部門の間の資金貸借の増加
預金・貸出業務の収益増加
証券関連業務の収益減少
"
S100G9UI,mda,"非現金支出の減価償却費や運転資金の変動
仙壽閣空調機更新・特別室改修、須坂駅~桜沢駅間集中連動化工事等の有形固定資産の取得
国内景気の回復
石油販売事業でのガソリン市況の高値推移や訪日外国人の利用増加
グループ中期経営計画「VALUE UP'18」の実行
"
S100GARS,mda,"FFGの営業基盤である九州圏内においては、生産や輸出が自動車・半導体関連で一部弱含みつつも、総じて高水準で推移
円相場は、年度を通じた米国の良好な景気指標等を背景に総じて円安ドル高の展開が続いた
連結経常利益の増加
親会社株主に帰属する当期純利益の増加
総資産の増加
"
S100GBDJ,mda,"石油精製・石油化学向けの需要が堅調に推移したプラント向け工事・販売部門と巻付け耐火被覆材の需要が高水準で推移した建材部門を中心に売上高が増加
エネルギーコストや原材料価格の高騰
社債(1年内償還予定の社債を含む)の増加
社債の発行による収入
わが国経済は、輸出や生産の一部に弱さや企業収益の改善に足踏みが見られる中、雇用環境は改善基調で推移し、全体としては緩やかな景気回復が続いた
"
S100GCH8,mda,"わが国の経済は、相次ぐ自然災害が大きな影響を与えたものの、企業収益の改善が進み、設備投資も増加傾向にある等、引き続き緩やかな回復基調で推移いたしました
企業間競争の加速、お客さまからのコスト削減要請等厳しい状況が継続
お客さま第一主義に徹した経営姿勢を貫き、業務品質の向上に取り組むとともに、お客さまのニーズに合った提案型営業を推進
円滑な事業活動に必要な流動性の確保と財務の健全性・安定性維持を資金調達の基本方針としている
フリーキャッシュ・フロー指標を戦略的投資または、株主還元、有利子負債の返済に配分する
"
S100GCI1,mda,"堅調な企業業績を背景とした積極的な設備投資や雇用所得環境の改善による消費マインド
海外経済の減速に伴う輸出の低迷
米中貿易摩擦問題や英国のブレグジット、中国のデバレッジ(債務圧縮)の影響でインフラ投資が減速
プラント事業における半導体製造装置ならびに機能性セラミックス向け設備需要の好調
建材舗装用材事業における営業部門強化による人件費増や物流コストのアップ
"
S100IOZN,mda,"EC事業、直営小売事業の伸長に注力
販売費及び一般管理費を前連結会計年度に比べ1億85百万円節減
希望退職者募集に伴う退職加算金1億22百万円のほか、店舗・売場用等事業資産の減損損失28百万円、直営店の売場閉鎖損失等を計上
消費動向の変化、気象状況や災害等のリスク項目をはじめとする、様々なリスクが当社グループの経営成績に重要な影響を与える可能性がある
魅力的な製品の提供に努め、外部や事業環境の変化にすばやく対応するための情報収集、人材育成や組織体制の整備、内部統制強化等により、経営成績に影響を与える可能性のあるリスクの回避及び発生を抑え
"
S100IV3J,mda,"新型コロナウイルス感染症の影響により、足下で大幅に下押しされ、個人消費は弱い動きとなり、雇用情勢にも影響がみられた
四輪新車について全国統一金利のクレジット商品や早期一括返済・一部繰上返済の手数料無料化を引き続き行った
一部の車種については本田技研工業株式会社の施策である「1.9%特別金利キャンペーン」による残価設定型クレジットの取り組みを引き続き強化した
現金により購入を希望されるお客様へも残価設定型商品を提供できるよう、ホンダファイナンスの新商品として9月より「バリュー保証プラン」の取り扱いを開始した
販売費及び一般管理費は187億円と同14億円の費用増加
"
S100IYE6,mda,"運転資金については自己資金または短期借入金により調達
新型コロナウイルス感染症の感染拡大に伴う影響
消費税率引上げ前の駆け込み需要の影響
エアコンなどの季節家電商品が夏の天候不順や暖冬の影響を受けた
Windows7のサポート終了によりパソコンの売上が増加
"
S100IYGI,mda,"人手不足による人件費の上昇、カット野菜工場の改修等に伴う製造原価の増加
人手不足による人件費・求人費の増加、物流事業における事業拡大・物流網構築に係る人員・車両確保費用の増加
雑収入が減少したこと等
固定資産圧縮損499百万円を計上したこと等
税効果会計適用後の法人税等の負担額の増加
"
S100JRY4,mda,"貸倒引当金、退職給付引当金、役員退職慰労金引当金を実績や内規に基づいて見積りを行い、計上
新型コロナウイルスの影響により国内景気は急速に悪化
ゴルフナビ導入やインターネット予約による若年層のプレーヤー取込み
鹿児島市発注の公共事業の受注や鹿児島市ふれあいスポーツランドの受託事業
人件費やコース整備に伴うコース管理経費増
"
S100KG5F,mda,"新型コロナウイルスの感染拡大に伴う経済活動の自粛・停滞によるマイナスの影響
中期経営計画「Digitize & Digitalize Japan」を達成すべく、計画通りの人材採用やパブリテック事業の強化
コロナ対策を本格化させ、テレワークの全面移行や事業内容・サービス内容の「ウィズコロナ」への切り替え
デジタル人材育成のオンラインへの切り替え、顧客ポートフォリオの見直しによる官公庁セクター案件の獲得
株式会社トラストバンクの完全子会社化
"
S100KZGC,mda,"新薬の継続的な創出と開発パイプラインの拡充を目指し、研究開発活動を推進
グラナテックの海外展開を検討
K-232の国内第III相臨床試験が開始
DW-1002の欧州等で上市済みの製品の販売
DW-5LBTの承認申請
"
S100LKLF,mda,"営業利益率と経常利益率の向上
診療報酬改定と医療機関の経営合理化による医療費引き下げ
新型コロナウイルス感染症の影響
Web system等を利用した新しい活動スタイルの導入
市場の動向や事業環境の変化に対応した経営方針の策定
"
S100LPRD,mda,"中国やアメリカにおいては製造業を中心に景気の持ち直しが見られた
欧州では感染再拡大によりロックダウン措置が実施された
国内経済においては、製造業は堅調に推移したが、緊急事態宣言の再発令などを受けて回復ペースは鈍化した
塗装設備製品の売上が伸長した
新型コロナウイルス感染症の影響により営業活動が制限された
"
S100LSRM,mda,"手元現預金および多様な資金調達の活用による成長のための投資と株主還元の充実
製品製造のための原材料、部品の購入、外注加工費、人件費等の営業活動資金と、持続的な成長のための研究開発投資や設備投資
内部資金および外部資金を調達し有効に活用
新型コロナウイルス感染症による企業活動の制限等の不確実性の高い要素を反映させた会計上の見積り
中期経営計画「創造」の実施
"
S100LU1A,mda,"船舶の増加と船隊構成の整備
石油製品船の市況悪化
航海用船契約の変更
コロナ禍による行動制限
船舶修繕費や環境規制対応のためのバラスト水処理装置等の購入、設置費用、及び一般管理費等の運転資金需要
"
S100LU1K,mda,"お客様の工場の生産・搬送ライン、半導体製造装置、工作機械、産業用ロボットなどに組み込まれる要素部品である自動制御機器製品の特性
自動制御機器製品の単価は比較的低廉だが、その不具合や欠品によってラインの停止や稼働遅れが生じた場合、お客様は多大な損失を被る
お客様のニーズに合致した製品を短納期で即納することができるかどうかが、競争上、極めて重要な要件となる
在庫の陳腐化リスクを低減するため、最終製品に組み上げる前の段階で在庫として保持する等の対応を行う
在庫需要の長期的な安定性は来期以降も継続するものと仮定し、在庫の短期的な廃棄や陳腐化を想定しておらず、当連結会計年度における会計上の見積りが翌連結会計年度の連結財務諸表に重要な影響を及ぼすリスクがないと判断している
"
S100NPKP,mda,"新型コロナウイルス感染症の影響により先行き不透明な状況が続く
新規顧客開拓による収益拡大および外注先との連携強化による生産性の改善[金型製造事業]
研究開発を推進
CAD/CAMシステム等事業の売上高増加
金型製造事業の売上高減少
"
S100NY07,mda,"安定した不動産収入が堅調に推移
デルタ株の収束によりレストラン部門の売上高が回復
臨時雇用者を確保する必要性が低下、効率的な人員配置
新型コロナウイルス感染症の拡大による影響
人口減少や高齢化による食需要の減少、飲食市場の縮小
"
S100O4IQ,mda,"新型コロナウイルス感染症の拡大により、個人の消費活動に大きな影響を及ぼした
社員の健康面での安全を確保しつつ、店舗への来客数の減少を補完すべくECの販売強化に最注力
巣篭り需要に対応して3コインズを軸とした生活雑貨ブランドに注力
店舗の売上高に大きく影響し、衣料事業の店舗を中心として減損損失を1,659百万円計上
各ブランドでは、新たな視点での集客力アップのため、昨年度に引き続きプラスワンカテゴリー施策を実行
"
S100O87R,mda,"新型コロナウイルス感染症の拡大により、緊急事態宣言発令やまん延防止等重点措置が断続的に発出され、経済活動が大幅に制限を受けた
ワクチン接種が進むとともに感染状況が落ち着きつつあり、個人消費や国内景気は緩やかな回復基調で推移
オミクロン株の急激な感染拡大や、ロシアによるウクライナ軍事進攻の影響を受けた原油高をはじめとした物価高騰により、景気動向の先行きは依然として不透明な状況
ゴルフ場業界においては、高齢プレーヤーのリタイアや料金低価格化傾向が今後も続くことが予想される
ゴルフが比較的感染リスクが低いスポーツとして認知され、若者や女性の利用増
"
S100OAQE,mda,"資産・負債及び収益・費用の報告数値及び開示に影響を与える見積りや判断を行う
時価又は実質価額が著しく下落した有価証券について減損処理を行う
ブランド価値経営の下、持続的成長を可能にするための5つの取り組み
新型コロナウイルス感染症に伴う需要の落ち着き
マーケティング費用の戦略的な投下
"
S100OCJX,mda,"開発原価総額の見積りをプロジェクトの完了時期、投入する要員及び工数等の情報を基に算定する
開発途中での仕様変更や、想定外の事象の発生等により、開発原価総額の見積りと実績に差異が生じる可能性がある
プロジェクト管理体制を整備し、開発原価の見積りと実績を対比することにより、適時・適切に開発原価総額の見積り及び進捗度の見直しを行う
新型コロナウイルス感染症の影響による厳しい状況が続きました。
情報サービス産業におきましては、新型コロナウイルス感染症の影響により一部の企業でIT投資を控える動きがありましたが、企業による働き方改革や海外グループ会社を含めたガバナンス強化等を背景として、IT投資は堅調に推移いたしました。
"
S100OCL9,mda,"メドピア(株)と業務提携に基づいた在宅医療領域における共同事業の開始
(株)グレイスグループへの出資と協業における第一弾ファイナンスサービスの提供
新型コロナウイルス感染症拡大防止に向けた営業時間の短縮や不要不急の外出・移動自粛等の影響
家賃保証事業「セゾンの家賃保証 Rent Quick」の提供開始
資金調達において安定性とコストを重視し、調達手法の多様化を図る
"
S100ODKK,mda,"新型コロナウイルス感染症拡大の影響が継続し、東京オリンピック・パラリンピックも海外からの大会観客受け入れ断念にとどまった
中古車価格が高騰し中古車競売価格が過去10年の最高値を更新した
登録台数は約364万台(前期比5.5%減)となった
当社グループは、自動車流通業界の新規顧客層の拡大及び自動車ファイナンス業界を中心とする既存顧客の売上拡大に取り組んだ
当社グループは、データ購入費用のほか、販売費及び一般管理費等の営業費用の増加に取り組んだ
"
S100OG4R,mda,"賞与引当金の減少による資金の減少が15億59百万円、棚卸資産の増加による資金の減少が81億54百万円
仕入債務の増加による資金の増加が44億40百万円、法人税等の支払額が134億44百万円
有形固定資産の取得による支出が74億41百万円、有形固定資産の売却による収入が7億87百万円
無形固定資産の取得による支出が19億41百万円、投資有価証券の取得による支出が9億60百万円
差入保証金の差入による支出が11億95百万円
"
S100OIMW,mda,"新型コロナウイルス感染症のワクチン接種の進展に伴い、経済活動の再開への動きが見られた
新たな変異株による感染急拡大やウクライナ情勢、原材料やエネルギー価格の高騰、円安の進行などによる不透明な状況
鉄道関連事業を中心に受注活動を展開
自動車関連事業を中心に受注活動を展開
各賃貸マンションが堅調な売上を維持
"
S100OL9L,mda,"新型コロナウイルス感染症による影響が残り、ウクライナ情勢の影響により先行き不透明な状況が続いた
テレワークの拡大及び長期化や外出自粛の影響により顧客のFX取引機会が増加した
収益源の多様化及び顧客基盤の強化のためのLION CFDの提供
預託金の増加による支出が増加した
短期差入保証金の増加による支出が増加した
"
S100OMGN,mda,"新型コロナウイルス感染症の脅威が未だ大きいものの、経済活動を再開する動きが活発化
建設業界において建築受注が回復傾向にあるものの、資材調達への懸念が高まり、建設技能労働者の需給が逼迫
解体事業において老朽化建物の増加、ネット社会到来に伴う産業構造の変化、再開発案件の活発化
大型工事の原価増による利益の減少
収益認識会計基準の適用
"
S100OSBF,mda,"新型コロナウイルス感染症拡大の影響
売上高増加率と売上高経常利益率の改善
売上高経常利益率の改善
キャッシュ・フローの状況
新型コロナウイルス感染症の影響が長期化
"
S100PUV1,mda,"香料業界の国内市場の成熟化、同業者間での競争激化、品質保証に関する要求増加
研究・技術開発力の一層の向上、当社独自の高品質・高付加価値製品の開発
MISSION社の業績が当社グループの連結経営成績に通期で寄与
フレグランス部門の売上増加
円安の影響による中国子会社の売上増加、マレーシア子会社の売上増加
"
S100QSEH,mda,"新型コロナウイルス感染による影響が長期化しているものの、社会経済活動は回復の兆しが見え始めている
原材料価格の高騰による物価高騰や、エネルギー価格高騰、国際的な紛争となっているロシア・ウクライナ情勢の長期化
従来の店舗オペレーションを大きく変えることで極力価格の上昇を抑制
オリジン事業においてフルセルフレジの導入を、外食事業において配膳下膳ロボットの導入を開始
継続的なコスト削減に取り組み、販売費及び一般管理費を前期比99.9%に抑制
"
S100QYDM,mda,"原油価格の高騰
燃料の共同仕入による燃料費コストの圧縮、抑制
整備などの徹底と運行(運航)の効率化
人口減少や少子高齢化、原油価格をはじめとする原材料費の高騰、鉄道の運転士不足
観光需要を最大限に取り込むための西九州新幹線や熊本県並びに天草地方との連携、観光列車をはじめとする企画商品の強化、サイクルツーリズムの推進
"
S100QYE0,mda,"新型コロナウイルス感染症対策による行動制限の影響から社会経済活動の正常化に向けた緩和策により、景気は緩やかな持ち直しの動きが見られた
ウクライナ情勢の長期化による原油価格をはじめとした原材料単価の高騰やエネルギー価格の上昇に加え、為替の大幅な変動等
住宅建築業界では、政府による住宅取得支援策や低水準の住宅ローン金利等が継続
継続的な新製品の市場投入に加え、活発な営業活動を展開
電材及び管材の価格改定を行ったこと等により
"
S100R4TK,mda,"東北電力グループとの取引
空調管工事の増加
法人税等調整額の影響
中期経営方針に基づく成長投資
新型コロナウイルス感染症による影響
"
S100R5Y8,mda,"運転資金及び設備投資など事業活動に必要な資金の調達
自己資金及び金融機関からの借入による資金調達
キャッシュ・フロー及び借入による資金調達
売上高、各利益計画値、配当性向並びに自己資本(連結)当期純利益率の達成状況
2024年3月期における重要目標経営指標の達成
"
S100R62U,mda,"コロナ禍からの経済正常化が進む一方、ウクライナ情勢の長期化や資源価格の高騰、インフレの進展による不透明な状況が続いた
電気自動車(EV)向けのリチウムイオン電池関連の受注が引き続き堅調に推移
上海市のロックダウンに伴う工場操業停止
サプライチェーンの混乱に伴う部品の供給不足が長期化
円安により在外子会社の邦貨換算の影響がプラスに働いた
"
S100R6JB,mda,"営業活動によるキャッシュ・フロー
投資活動によるキャッシュ・フロー
財務活動によるキャッシュ・フロー
"
S100RH2N,mda,"従業員の雇用維持や新たな人材確保に努めたことによる人件費の増加、ゴルフカートや吊り橋などの設備の維持修繕、ゴルフコース整備による修繭費の増加、エネルギー価格の高騰などによる諸経費の増加
長期借入れによる収入
設備投資による有形固定資産の取得
1年内返済予定の長期借入金、未払法人税等の減少
"
S100RRDP,mda,"新型コロナウイルス感染症の影響が続いたものの、行動制限・水際対策の緩和などにより、経済活動正常化の動きが見られた
原材料価格・エネルギー価格の高騰による物価上昇等
競合他社の出店や価格競争の激化、他業種からの参入や企業の統合・再編の動き
中期経営計画に基づき、地域に貢献する総合ヘルスケアサポートの推進
ドラッグストア事業のEDLP(エブリデイ・ロープライス)の推進
"
S100THRE,mda,"コンクリートパイルの全国需要が前年度を2割下回る
土曜閉所の工事現場が増加し稼働日の減少
日本セグメント工業株式会社の全株式を売却
営業活動によるキャッシュフローの増加
投資活動によるキャッシュフローの減少
"
S100TOTO,mda,"国内の経済活動の持ち直しなどを背景に景気の緩やかな回復基調が続いた
不安定な国際情勢、インフレ圧力と欧米各国の金融引き締めや急激な為替変動など
薬価改定による影響などにより、引き続き厳しい事業環境が続いた
新製品の伸長
医薬品事業における産婦人科領域の製品群が伸長
"
S100TUBU,mda,"カントリーリスクへの対応
世界的な在庫調整の局面やインフレ下の買い控えなどによる需要減
中国における自動車関連の回復遅れや経済低迷
欧米他地域における展示会出展等による新規顧客獲得
中国並びに日本の売上減少による工場稼働の悪化、エネルギーコスト上昇
"
S100UZSX,mda,"レーガベーネ駒込や大型の土地の売却等により不動産売上高が増加
期中に仕入れた鉄筋コンクリート造マンションやレーガベーネ守谷等の賃料収入により自社物件の賃貸事業収益が増加
太陽光発電施設における損害保険金及び利益特約保険金の受取により営業外収益が減少
太陽光発電施設「KORYOエコパワー石岡」の譲渡に伴う固定資産売却益が計上
「KORYOエコパワー笠間」の一部を減損損失が発生
"
S100VTE4,mda,"わが国経済が緩やかな回復基調にあったものの、円安の進行による原材料価格高騰や物価高に歯止めがかからず、また、アメリカ合衆国の「アメリカ・ファースト」の外交スタンスなどによって世界経済が影響を受けるなど、先行き不透明な状況で推移
ゴルフ場業界全体におきましては、団塊の世代の高齢化に伴うゴルフ離れ、多様なレジャー産業との消費者争奪競争、夏期の災害級の猛暑、さらに原材料やエネルギーコストが上昇の一途を辿るなど、非常に厳しい経営環境にあり
組数の制限を行い、会員様の予約の取りやすさと昼食待ち時間の短縮に努め、快適なプレー環境を提供
夏期の早朝スループレーの実施や各種オープンコンペの開催、西コースに続き、大上ゴルフ場において会員様同伴限定での乗用カートフェアウェイ乗り入れプレー、老若男女年齢問わずお楽しみいただける新設ティーイングエリア(通称:グリーンティ)の新設
2024年11月から2025年5月末まで「名義変更減額キャンペーン(名義書換料および利用者変更料減額キャンペーン)」を実施し、メンバーシップゴルフ場として会員稼働率の向上と収益の確保に努めてまいりました
"
S100W0U3,mda,"ゴルフ場の運営事業に係る事業賃貸を行っている
コース維持のための修繕費が増加した
減価償却費による資金の内部留保効果
ロックフィールドゴルフリゾート株式会社に対する長期貸付を実施した
継続的な設備投資が必要となる
"
S100W2GO,mda,"わが国経済は物価高の影響が見られるものの、雇用・所得環境の改善を背景に個人消費には持ち直しの動きが見られ、高水準の企業収益を背景とした設備投資も底堅く推移し、景気は緩やかな回復基調にあります。
世界経済は、米国の関税政策に対する懸念から世界各国の株式市場は大幅に下落し、トランプ政権の経済政策が予測困難で米国の景気後退観測もあることから、世界経済の先行きは極めて不透明な状況になっております。
セメント業界向けを中心とする耐火物事業においては、セメントの国内生産量の減少傾向が続く状況の中、新規取引先の開拓及び生産性向上への積極的な取り組みにより、売上高、利益ともに前年度を上回る結果となりました。
プラント事業においては、工事部門が堅調に推移したことに加え、設備部門においても、半導体関連の需要回復に伴い顧客の設備投資が増加したことから、売上高、利益ともに前年度を上回る結果となりました。
建材及び舗装用材事業においては、各種製品の価格改定等もあり売上高、利益ともに前年度を上回る結果となりました。
"
S100W2VL,mda,"お客様からのIT投資に対する旺盛な需要
親会社所有者帰属持分比率の変動
新規サービスの開発等に向けた研究開発費の増加
キャッシュ・フローの状況の変動
自己株式の取得による支出
"
S100W4OG,mda,"コロナ禍で減少した路線バスや高速バス・旅行需要の回復
運賃改定の効果
投資の抑制による減価償却費の減少
コロナ前の売上・利益水準に回復させるとともに、まちづくり・地域づくり企業へ進化するための事業構造改革
グループ会社の再編
"
S100W5K9,mda,"雇用や所得環境の改善を背景に景気が緩やかな回復基調で推移
エネルギー関連費用の高止まりや継続的な物価上昇等
急激な為替変動、地政学リスクの高まりのほか、米国の通商政策による世界経済の下振れ懸念拡大
2025年4月より施行される建築基準法改正に伴う駆け込み需要
住宅価格上昇や住宅ローン金利の上昇懸念
"
S100W65X,mda,"親会社株主に帰属する当期純利益31億53百万円及び利益剰余金の配当による減少8億15百万円
電力事業における市場連動型プランへの移行に伴う差益の改善
人件費やIT関連投資及び資本政策等に係る支払手数料等の増加
業績回復による繰越欠損金の回収可能性の見直し
第三次中期経営計画に掲げる「脱炭素社会に対応した事業構造への転換」
"
S100FW7O,mda,"集客体制の強化に向けて様々な施策を展開
広告宣伝費への戦略的な投資を積極的に実施
広告の採算性が当初計画より低下
自社広告システムの運用上のミス
BIツールの導入
"
S100G5RV,mda,"再生エネルギーへのシフト
建設就業者数の減少、高齢化
相次ぐ自然災害により上半期の成長率に弱含みが見られたが、一部で減速傾向がありながらも海外経済の安定的な推移に加えて、企業業績や雇用環境の改善を背景に緩やかな回復基調となった
建設業界においては、オリンピック関連投資や国土強靭化政策、大企業を中心とした意欲的な投資に支えられ、公共・民間設備投資ともに底堅く推移した
当社グループは中期経営計画『Next Stage 2018』(2016~2018)の最終年度として、引き続き経営の合理化・効率化を推進し、経営資源を最大限に活かして、より一層の収益力向上を推し進めた
"
S100OCL9,mda,"新型コロナウイルス感染症拡大防止に向けた営業時間の短縮や不要不急の外出・移動自粛等の影響
デジタル技術活用によるビジネス変革・転換に取り組み、お客様の期待を超える感動体験を提供するデジタル先進企業を目指し、2021年9月、デジタルトランスフォーメーション戦略(CSDX戦略)を策定いたしました。
2021年8月に設置したサステナビリティ推進委員会により、グループ全体での事業を通じた社会・環境課題解決への取り組みを加速しております。
資産形成ローンの新規取扱高による残高の積み増し等により営業債権及びその他の債権が1,867億7百万円増加
社債及び借入金が1,395億52百万円増加したこと及び営業債務及びその他の債務が143億87百万円増加したこと
"
S100OG4R,mda,"長期借入金の残高が370億86百万円である
新型コロナウイルス感染症の長期化による経済活動の停滞が続いていたものの、ワクチン接種の進展などに伴い徐々に落ち着きを見せた
変異株による新型コロナウイルス感染症の再拡大や世界的な半導体不足に伴う商品供給の遅延
生活家電商品や携帯電話が好調に推移
新型コロナウイルス感染症拡大防止のため、2021年4月から5月にかけて、一部の店舗で休業や営業時間の短縮を実施
"
S100QYDM,mda,"設備投資の抑制、更なる経費削減
人口減少や少子高齢化の進行による売上減少
過去の実績等に基づき合理的に判断した資産、負債及び報告期間における収益、費用の報告数値に影響を与える見積り
減損会計における将来キャッシュ・フロー減損損失を認識するかどうかの判定及び使用価値の算定において用いられる将来キャッシュ・フローの見積りに当たり、過去のトレンド及び予算数値などを考慮して見積もる
退職給付費用及び債務は、割引率・昇給率等数理計算上で設定される条件に基づき算出
"
S100D942,mda,"一都三県のおでかけ情報サイト「レッツエンジョイ東京」では記事型コンテンツの拡充を行いメディアパワー拡大とお出かけを通じた外食需要の喚起に取り組んだ
eコマース事業の強化にも取り組み、基盤となるシステムを刷新した
外部連携等による商品の販路拡大を可能にした
飲食店の多角化支援、食関連産業に向けたプロモーション支援、非日常の楽しみであるギフト領域における事業展開を進めた
売上高が36,226百万円(前期比2.0%減)となった
"
S100DFCS,mda,"国内経済が緩やかな景気回復が続いた
中期経営計画“Breakthrough for the Next Decade~今を超え、新たなる10年へ~”に基づき、成長戦略、経営基盤強化戦略を推進
収入面で不動産関連の大口の売却収入があった
航空機リース事業が牽引した
米国税制改正の影響
"
S100DGRF,mda,"設備投資需要の継続
原材料価格の上昇や人手不足による人件費、外注加工費の上昇
子会社である旭工業株式会社を新たに連結の範囲に含めたグループ経営
中期経営計画「G-17」における最終年度(2020年3月期)の連結業績目標
人材の確保、生産設備の増強
"
